componentId	repository	publishedPackageTypes	componentId-docker	additionalDockerImages	componentId-go	componentId-helm	additionalHelmCharts	componentId-ivy	additionalIvyPackages	discussionSlackChannel	botSlackChannel	alertSlackChannel	owningTeam	qlik-releaser	componentId-maven	additionalMavenPackages	componentId-npm	additionalNpmPackages	componentId-nuget	additionalNugetPackages	componentId-jira	production-approval	production-approval/compliance/antivirus	production-approval/compliance/api-governance	production-approval/compliance/dependencies	production-approval/compliance/package-metadata	production-approval/compliance/packages-existence	production-approval/compliance/security	production-approval/compliance/soc2	production-approval/compliance/sre-compliance	production-approval/compliance/sre-compliance-keys-operator	production-approval/compliance/sre-compliance-resource	production-approval/compliance/sre-compliance-resource-contract	production-approval/compliance/sre-compliance-slo	production-approval/compliance/static-compliance	production-approval/compliance/twistlock	production-approval/qmfe-qcs	primaryChampion	briefDescription	npmScope	releaseTrackBranches	domain	grafanaDashboardUrl	playbookUrl	productDeploymentName	hasNoCode	isDeprecated	codeCoverageExclusionReason	errors	warnings	intakeSuites	isJiraComponent
AMC-Loop-Reduce		[]		[]			[]	amc-loop-reduce	[]	#cf_tools	#cf_tools	#cf_tools	customerfirstqda	false		[]		[]		[]	amc-loop-reduce	required	required	not-applicable	required	not-applicable	required	required	not-applicable	not-applicable					required	not-applicable					[]					false	false			AMC-Loop-Reduce: Dependabot is not configured for component, 	core,	true
Qlik-Mobility-Registrar		[]		[]			[]		[]	#qlik-alerting-win-support	#qlik-alerting-win-support	#qlik-alerting-win-support	qlik-alerting	false	mobilityregistrarservice	[]		[]		[]	Qlik-Mobility-Registrar	required	not-applicable	required	required	not-applicable	required	required	not-applicable	not-applicable					required	not-applicable					[]					false	false		Qlik-Mobility-Registrar: component has 2 critical and high Dependendabot alerts, 	Qlik-Mobility-Registrar: component has 1 high Dependendabot alerts, Qlik-Mobility-Registrar: Dependabot is not configured for component, 	core,	true
Qlik-Notifier-Service		[]		[]			[]		[]	#qlik-alerting-win-support	#qlik-alerting-win-support	#qlik-alerting-win-support	qlik-alerting	false	notifierservice	[]		[]		[]	Qlik-Notifier-Service	required	not-applicable	required	required	not-applicable	required	required	not-applicable	not-applicable					required	not-applicable					[]					false	false		Qlik-Notifier-Service: component has 2 critical and high Dependendabot alerts, 	Qlik-Notifier-Service: component has 1 high Dependendabot alerts, Qlik-Notifier-Service: Dependabot is not configured for component, 	core,	true
about-service		[]		[]			[]		[]	#sense_windows_platform_public	#sense_windows_platform_bot	#sense_windows_platform_public	sense-windows-platform	false	about-service	[]		[]		[]	about-service	required	not-applicable	required	required	not-applicable	required	required	not-applicable	not-applicable					required	not-applicable					[]					false	false			about-service: Dependabot is not configured for component, 	core,	true
access-controls		[]	access-controls	[]		access-controls	[]		[]	#authentication-and-identity-team	#idmgmt_alerts	#idmgmt_alerts	cloud_id_mgmt	false		[]		[]		[]	access-controls	required	not-applicable	required	required	required	required	required	required	required					required	required		sasokit			[]	access-controls	https://metrics.qlikcloud.io/d/MNcRdHKnk/access-controls-metrics?orgId=1	https://github.com/qlik-trial/elastic/blob/master/docs/SRE-Partnerships/access-control/Playbook.md		false	false			access-controls: component is part of QCS or QCG but Used qlikCommonVersion (=3.6.0) does not meet criteria for required version (=3.7.2), access-controls: component is part of QCS or QCG but playbookUrl was last updated more than half a year ago (2022-06-06 19:30:32 +0000 UTC), access-controls: component is part of QCS, QCG or LEF but the latest release tag (=v0.41.6) is below v1.0.0 which indicates that the version is not ready for production, 	core,access-controls	true
active-analytics-orch		[]	active-analytics-orch	[]		active-analytics-orch	[]		[]	#dis-core-scrumteam	#dis-core-scrumteam	#dis-core-scrumteam	dis-core	false		[]		[]		[]	active-analytics-orch	required	not-applicable	required	required	required	required	required	required	required					required	required		mahmoud-aamar			[]	data-integration	https://metrics.qlikcloud.io/d/active-analytics-orch/active-analytics-orchestrator?orgId=1	https://github.com/qlik-trial/elastic/blob/master/docs/SRE-Partnerships/active-analytics-orch/Playbook.md		false	false			active-analytics-orch: component is part of QCS or QCG but Used qlikCommonVersion (=3.6.0) does not meet criteria for required version (=3.7.2), active-analytics-orch: component is part of QCS or QCG but playbookUrl was last updated more than half a year ago (2023-04-24 07:21:57 +0000 UTC), 	core,data-integration	true
ai-platform-api		[]	ai-platform-api	[]		ai-platform-api	[]		[]	#ai-platform-api	#ai-platform-api	#ai-platform-api	ai-platform	false		[]		[]		[]	ai-platform-api	required	not-applicable	required	required	required	required	required	not-applicable	not-applicable					required	required		jfdiazl			[]	ai				false	false				core,ai	true
ai-platform-llm-gateway		[]	ai-platform-llm-gateway	[]		ai-platform-llm-gateway	[]		[]	#ai-platform-llm-gateway	#ai-platform-llm-gateway	#ai-platform-llm-gateway	ai-platform	false		[]		[]		[]	ai-platform-llm-gateway	required	not-applicable	required	required	required	required	required	not-applicable	not-applicable					required	required		jfdiazl			[]	ai				false	false				core,ai	true
amc		[]		[]			[]	amc	[]	#customer_first_public	#customer_first_public	#customer_first_public	customerfirstqda	false		[]		[]		[]	amc	required	required	not-applicable	required	not-applicable	required	required	not-applicable	not-applicable					required	not-applicable					[]					false	false			amc: Dependabot is not configured for component, 	core,	true
analysis-type-autochart		[]		[]			[]		[]	#hub-chat-ui	#hub-chat-ui	#hub-chat-ui	natural-language-chat	false		[]	sn-analysis-autochart	[]		[]	analysis-type-autochart	required	not-applicable	not-applicable	required	not-applicable	required	required	not-applicable	not-applicable					required	not-applicable		Anuj0047			[]					false	false			analysis-type-autochart: Dependabot is not configured for component, 	core,	true
